from,to,weight,relationship
A,B,0,
A,C,0,
A,D,0,
B,A,0,
B,C,3,
B,D,0,
C,A,0,
C,B,3,
C,D,0,
D,A,0,
D,B,0,
D,C,0,
Ego,A,1,1
Ego,B,3,2
Ego,C,3,2
Ego,D,1,2
A,Ego,1,1
B,Ego,3,2
C,Ego,3,2
D,Ego,1,2
