from,to,weight,relationship
A,B,1,
A,C,1,
A,D,1,
B,A,1,
B,C,3,
B,D,1,
C,A,1,
C,B,3,
C,D,1,
D,A,1,
D,B,1,
D,C,1,
Ego,A,2,1
Ego,B,3,2
Ego,C,3,2
Ego,D,2,2
A,Ego,2,1
B,Ego,3,2
C,Ego,3,2
D,Ego,2,2
